Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Latency
41,41,0,0,0,0.154252625
14,21,31,14,0,0.109009933
2,10,18,2,0,0.110401726
15,40,10,15,0,0.101456499
4,30,4,0,0,0.10301795
26,27,32,17,26,0.104567337
18,18,0,0,0,0.095587873
12,12,0,0,0,0.097333193
4,36,7,39,4,0.101864767
9,49,48,41,9,0.102424335
21,23,24,21,0,0.106549644
48,48,0,0,0,0.099273634
49,13,30,49,0,0.100743484
7,28,33,17,7,0.102782297
19,16,19,0,0,0.103672647
14,31,5,14,0,0.103248549
23,19,6,23,0,0.101037407
35,42,19,4,35,0.150768042
2,42,32,2,0,0.143847036
15,15,0,0,0,0.131709051
37,24,26,37,0,0.149910879
9,24,42,9,0,0.152242947
11,42,32,47,11,0.176576757
31,2,31,0,0,0.113211346
38,38,0,0,0,0.109036732
19,31,19,0,0,0.10619278
28,33,1,11,28,0.106519508
3,5,3,0,0,0.106134129
7,11,7,0,0,0.104244709
3,13,3,0,0,0.106437969
3,3,0,0,0,0.102317619
5,46,5,0,0,0.09907546
1,14,7,29,1,0.137844706
15,17,28,15,0,0.098525953
16,1,37,16,0,0.107900858
19,19,0,0,0,0.096338749
25,25,0,0,0,0.098968315
43,25,43,0,0,0.103011322
29,36,29,0,0,0.109770823
10,47,18,43,10,0.152196264
40,7,43,40,0,0.153985596
48,4,48,0,0,0.139121199
10,3,4,13,10,0.152339697
2,2,0,0,0,0.145843601
13,24,19,13,0,0.102446651
13,13,0,0,0,0.096905708
18,18,0,0,0,0.098201895
15,30,2,15,0,0.107295322
1,45,6,41,1,0.114399767
41,41,0,0,0,0.101642561
16,4,16,0,0,0.105224609
45,21,27,45,0,0.108079672
15,20,3,15,0,0.104817581
13,13,0,0,0,0.103977394
35,2,31,14,35,0.10776391
8,8,0,0,0,0.101163578
4,43,8,4,0,0.104103041
1,21,1,0,0,0.11412344
21,21,0,0,0,0.108071613
44,14,28,44,0,0.109926224
32,32,0,0,0,0.109129286
27,16,49,26,27,0.136303616
30,18,30,0,0,0.148205471
